Player,Salary,AST
Stephen Curry,48070014,30
John Wall,47345760,35.3
Russell Westbrook,47080179,38.6
LeBron James,44474988,33.5
Kevin Durant,44119845,24.5
Bradley Beal,43279250,26.6
Kawhi Leonard,42492492,19.6
Paul George,42492492,24.2
Giannis Antetokounmpo,42492492,33.2
Damian Lillard,42492492,35
Klay Thompson,40600080,11
Kyrie Irving,38917057,25.4
Rudy Gobert,38172414,5.6
Khris Middleton,37984276,30.7
Anthony Davis,37980720,13
Jimmy Butler,37653300,27.1
Tobias Harris,37633050,11.4
Kemba Walker,37281261,20.1
Trae Young,37096500,42.5
Zach LaVine,37096500,18.7
Ben Simmons,35448672,31.3
Pascal Siakam,35448672,24.9
Myles Turner,35096500,7.5
Jrue Holiday,34319520,34.4
Karl-Anthony Towns,33833400,22
Devin Booker,33833400,27.3
Andrew Wiggins,33616770,10.5
Joel Embiid,33616770,22.9
CJ McCollum,33333333,25.1
James Harden,33000000,43.3
Jamal Murray,31650600,27.5
Brandon Ingram,31650600,28.1
D'Angelo Russell,31377750,27.4
Donovan Mitchell,30913750,21.4
Shai Gilgeous-Alexander,30913750,25.7
Deandre Ayton,30913750,9.2
Kevin Love,30556968,13.2
Jayson Tatum,30351780,20.9
Bam Adebayo,30351780,15.9
De'Aaron Fox,30351780,29.6
Gordon Hayward,30075000,19.3
Jaylen Brown,29776785,16.5
Chris Paul,28400000,38.7
Kyle Lowry,28333334,23.4
Jalen Brunson,27733332,28.7
DeMar DeRozan,27300000,22.3
Al Horford,26500000,13.2
Draymond Green,25806468,27.8
Julius Randle,23760000,18.5
John Collins,23500000,5.3
Mike Conley,22680000,29.4
Malcolm Brogdon,22600000,21.5
Anfernee Simons,22321429,18.6
Terry Rozier,21486316,22.7
Fred VanVleet,21250000,28.1
Buddy Hield,21177750,13.3
Domantas Sabonis,21100000,30.4
Jerami Grant,20955000,10.3
Aaron Gordon,20690909,14.2
Mikal Bridges,20100000,13.7
Jarrett Allen,20000000,7.5
Nicolas Batum,19700319,9.4
Eric Gordon,19568360,13.4
Spencer Dinwiddie,19500000,28.1
Caris LeVert,18796296,18
Joe Harris,18642857,9.1
Harrison Barnes,18352273,6.3
Clint Capela,18206896,4.7
Evan Fournier,18000000,10.6
Steven Adams,17926829,11.2
Jonathan Isaac,17400000,7.3
OG Anunoby,17357143,8
Marcus Smart,17207142,26.4
Derrick White,17142857,19.4
Dejounte Murray,17071120,24
Mitchell Robinson,17045454,4.5
Duncan Robinson,16902000,9.7
Norman Powell,16758621,11
Collin Sexton,16700000,17.9
Markelle Fultz,16500000,29.8
Lauri Markkanen,16475454,8.6
Marcus Morris,16372093,8.9
Malik Beasley,15558035,8.4
Luguentz Dort,15277778,9.2
Will Barton,15059712,15.4
Tyus Jones,15000000,28.8
Derrick Rose,14520730,19.9
Kevin Huerter,14508929,14.1
Christian Wood,14317459,11.7
Kentavious Caldwell-Pope,14004703,9.8
Brook Lopez,13906976,6.1
Patrick Beverley,13801614,13.3
Doug McDermott,13750000,9.8
Luke Kennard,13745455,9.4
Zion Williamson,13534817,24.4
Jordan Clarkson,13340000,20.9
Gary Harris,13000000,6.9
Kyle Kuzma,13000000,16.5
Josh Hart,12960000,16.1
Dorian Finney-Smith,12939848,6.7